path,current_bytes,current_sha256,method,limits_and_result,findings
app/src/main/ic_launcher-playstore.png,153673,87d33d6990c9657cef023751bc9efb45fbb8500b17042917a0e2876c60de5b51,"Декодирование Pillow, SHA-256",Структура изображения читается; визуальный QA не выполнен,
app/src/main/java/com/cryonum/MyApplicationInfo.kt,2498,d344686e44f7e9be036534c9349ed359fb9d881785548314c6a668f857e89fc9,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,SEC-01–03
app/src/main/java/com/cryonum/activity/ActivityAbout.kt,5319,ca40279dc82df568a1d724e5281381ace8d28265f620f3e1de5429aaf7051567,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/activity/ActivityAnalytics.kt,1915,24e87bf4aa3b6fa94f1167ccc34968ec911e4742d3bb421a3fd8d88572cfa3c0,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,PRIV-01–03
app/src/main/java/com/cryonum/activity/ActivityCalculator.kt,7773,3b69996c0ceddd5d18c71b7edc7e6a8abfc52de4cfb811836f6ca4b4715a86c1,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,CALC-01–06
app/src/main/java/com/cryonum/activity/ActivityHelpCenter.kt,3488,59e0f087bf8cdc7c2a58d01851296ed83901b7ba8803611289691c898b7738e5,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/activity/ActivityHistory.kt,6083,94d1ff4bd892204fce3c3a7be31fb06bcb3d8d1a2e4aa78a11d5436c421345b0,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,DATA-01; DATA-02
app/src/main/java/com/cryonum/activity/ActivityLanguage.kt,2187,3c324ef5bb90a82e2d16999995769513aa3bd8add5656eb01374e7893494ce22,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/activity/ActivityPartners.kt,1588,15d4d1202e8d4683f6427c314b514f7af8bc5bc5fb87368079fdde62edd842fb,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/activity/ActivityReferenceMaterial.kt,7222,38bea417fb96ea4bf4a5e08e2110688bc61bda89015d47ebbea43c27141da440,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/activity/ActivityResult.kt,2071,4acd4e7e753216927a3b8a39be082923d193ea90aea015352e2c3cf99246e969,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/activity/ActivitySchedule.kt,1201,094b4a1e8212029d01dc60ee52b44667ddda1ff52643695581f36d3225f4224b,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/activity/ActivitySecurity.kt,12680,5e64d3cea88f66d47ab4dc6b1c36cd65f69119d127b97502c8c0bcdf5a8f55cc,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,SEC-01–03
app/src/main/java/com/cryonum/activity/ActivitySettings.kt,3103,e4c09a8f5462c30fbada309736f749cdb49918e8f9a2bde0bac481f876eb8349,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/activity/ActivitySubstitutions.kt,9934,a15d312ec4d18d3b8e50878b52c698a8aaf3d24daa697db19358ba3c79c9f9c9,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,MATH-01; OCR-01
app/src/main/java/com/cryonum/activity/ActivityThemeSelection.kt,2259,5ee72bde78cbe8d231fc1032afec03aa3861f950d4e746d1491e826323d44631,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/activity/SplashActivity.kt,2780,c780b583d4d77b9e4a4a28ed9ccb6d129623529525330df96013d7de585cef05,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/calculator/CalculatorEngine.kt,16617,b8d26ab6365b859f9e196719671156d0faf1b25f6ff943174c6e3e016cbcd396,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,CALC-01–06
app/src/main/java/com/cryonum/calculator/CalculatorViewModel.kt,2326,b27fbc22b388aa92c9b263fe06d2e8096c794952b82c76c8669c8bf7c41fac4c,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,CALC-01–06
app/src/main/java/com/cryonum/content/ApprovedContentService.kt,4318,1b9c2d926d452c7178488f64e71e219c0d9e3ac34831cdaca1f77df5722e1b6b,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,CONTENT-01–05
app/src/main/java/com/cryonum/content/ApprovedContentUrlPolicy.kt,3001,58dbcf8c1e179e4f055557dc09e3b5919a8e16492a35649c8b5d201f9f4aef77,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,CONTENT-01–05
app/src/main/java/com/cryonum/content/CancellableHttp.kt,634,24bcf93e756ca4e46b68e2eabdd0d032657664f75cf3be1b8f7b2ff772ec748f,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,CONTENT-01–05
app/src/main/java/com/cryonum/content/ContentDependencies.kt,2318,ee39071ec99fe344a17ca16be1094169533fc5b3aac3cf90aed5818be2cea309,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,CONTENT-01–05
app/src/main/java/com/cryonum/content/ContentDownloadCoordinator.kt,1847,073accc9ef514b4e6f2bfee0424d08702f7abe1b20372bde108207ae16647d8a,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,CONTENT-01–05
app/src/main/java/com/cryonum/content/ContentDownloadRepository.kt,13478,32669636cf9df0c5fa684f7c91b726ac4a703744b39f975869b6c677d204c0b4,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,CONTENT-01–05
app/src/main/java/com/cryonum/content/ContentDownloadUiState.kt,1223,1f401fbf7870e83ad572694a7f081925b7f2f3cb5373673bb3381eb87f412c0e,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,CONTENT-01–05
app/src/main/java/com/cryonum/content/ContentDownloadViewModel.kt,12074,85f615f8c2ff6a8f6032161791bfe27913e1bb8e832feabd1de3b4b7a37dd5b4,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,CONTENT-01–05
app/src/main/java/com/cryonum/content/ContentDownloadWorker.kt,6046,e3ed992986f70a117ef7d0e9191ba9bc86d57c30cfc2c30281dad39ab4c5bff4,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,CONTENT-01–05
app/src/main/java/com/cryonum/content/ContentHttpValidator.kt,3630,b157fe9e84ceedcb3831a3d39cffb8b11ad9f9dcf91a27aef6045923fb863e2a,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,CONTENT-01–05
app/src/main/java/com/cryonum/content/ContentIntegrityVerifier.kt,348,a28e0fcd04e41a27276723ffad877601c3edcc9bcd4d0ac73fbc59d51194f880,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,CONTENT-01–05
app/src/main/java/com/cryonum/content/ContentManifestModels.kt,1652,7e8174da16b81c4fb0e94b42c0f1191b1b8ab7955b1eb7c3ca22bb41986f1bdc,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,CONTENT-01–05
app/src/main/java/com/cryonum/content/ContentMetadataStore.kt,1929,a478649b1cd7f534070058edae164ab956bd4cae2721582de9d714554fb77a1e,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,CONTENT-01–05
app/src/main/java/com/cryonum/content/ContentStorage.kt,8295,a36f854f703f3a906f9f622dcd179db40eaf599abb5ea2dba0f71e609971b29b,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,CONTENT-01–05
app/src/main/java/com/cryonum/content/PolicyConfigModels.kt,6233,706a5ccf58a5e14c02452e946ba69773a9f2c5400b5e246cc9045def69c957b3,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,CONTENT-01–05
app/src/main/java/com/cryonum/content/PolicyConfigService.kt,3151,5323b31409d43d13c84bd7083fe579a98e1a180d50d33d7df51fc9c63856ca5c,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,CONTENT-01–05
app/src/main/java/com/cryonum/content/PolicyUpdateCoordinator.kt,2234,57171c3a621860bcba3f5bee97c1f1a32075f5addc3a2aaea3320ab24edeec30,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,CONTENT-01–05
app/src/main/java/com/cryonum/content/PolicyUpdateStore.kt,1495,3d2821d3bfb7f58aac8e27d3dfe96c44cdf9205966ef7c46df5e66d830e41d9f,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,CONTENT-01–05
app/src/main/java/com/cryonum/content/PolicyUpdateWorker.kt,1982,0a2c4ba7cf282849ddf80aac98cd769b2d9e4fb8469459efbc44024f4161a53b,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,CONTENT-01–05
app/src/main/java/com/cryonum/content/ProductionContentKeys.kt,859,ccfcf4de00befef43f54164b20c1807b59179a497c7a383fa36a71acd0a36f4d,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,CONTENT-01–05
app/src/main/java/com/cryonum/content/SignedContentManifestVerifier.kt,8534,fa865bb3394e7e24fea85b6c19836bdc429217741f08aa238849037397e08448,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,CONTENT-01–05
app/src/main/java/com/cryonum/items/HistoryItem.kt,1635,e8d20a2d68c5ea634c5d22f338024a7c890391b97d7ce7bb52d33097804751b9,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,DATA-01; DATA-02
app/src/main/java/com/cryonum/items/ItemType.kt,76,ca43c3004f6810718943d25a40eff40735b094ab004669f0f69debaed12d30b3,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/items/LanguageItem.kt,322,801c72aa02b672439033e23eb726240dc38bb194a1f868f9b1c2677355557858,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/items/LectureId.kt,693,1417ac67ef92167e9bbfe422f87d56629cacf8bd92605b72c4f5b071e380b36c,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/items/ReferenceItem.kt,149,52f25d1bb357ed80383156e89748d58af7df979a8819383b467e4f78cc595294,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/items/ThemeItem.kt,185,e73649e7b22d8f319ccdfc40ffc8862683afcab90d9127062157416573465eff,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/links/RemoteLinksModels.kt,4345,cb53c2dc06c34871750c39248a21808dae52eb575e436b671fd4c36381d6439a,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/links/RemoteLinksRepository.kt,1004,1d139c23c61328ecfcd19590f98449f28ed70bb93383c948c5d272b3f8971af0,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/links/RemoteLinksService.kt,2610,ff58a58912e21a90bda39fd831f5704cc833366cee11071566e3d1646100f228,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/links/RemoteLinksStore.kt,1674,13cfe140d06b1c79cce2e601d55c7127ef4e334bd87fbe8d4cae6c702a1b2ac7,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/managers/AnalyticsManager.kt,9711,966343a27e6c5df1d2b77a801da76b7fa58910fbd74bc3eeb33f3e7c97e3e969,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,PRIV-01–03
app/src/main/java/com/cryonum/managers/AppLockObserver.kt,1649,b63b3bb6580b733d11561b7a726b18db529019248a623948a9468a07101a0181,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,SEC-01–03
app/src/main/java/com/cryonum/managers/ContentConfig.kt,241,27ec2b287678bf321e6415f3c53a428ee40214390c1189ec279d8b452c45bfcd,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/managers/HistoryManager.kt,3267,a7eaa3844f46b8815197a066a7b0729ef80b595325c0a15ba63cfb36afec15e2,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,DATA-01; DATA-02
app/src/main/java/com/cryonum/managers/ImagePicker.kt,11240,f42f276a6e36ca24231d74acc330c23eb1cd0cad2ef957c41bac4233cb1b4bac,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,MATH-01; OCR-01
app/src/main/java/com/cryonum/managers/LocaleManager.kt,10052,8fc8e209abefc757972a33aad285b83c9cc0da103cc66a32bf4a473bf4807799,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/managers/OrientationManager.kt,5652,07880eade768f5923361a21881a344f81e2fc5faae066046a1496b4744e49dfb,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/managers/PolicyManager.kt,9293,9ac8c1ca71be7482b590f0572c997e01f94bb60727204eddeb565080b0d64003,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/managers/SecurityManager.kt,13619,d652ac3d724f402ec075efd999d148c251ebb24f443162fa23e62f22a84cb689,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,SEC-01–03
app/src/main/java/com/cryonum/managers/SystemUiManager.kt,1125,e6aa4ccd935ecb1c06cc4ecd99827c6e297b9bb73531c138435ce43a0bd7e2c2,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/managers/ThemeManager.kt,5828,c39b713a82b934db05ce38d7749d667f46aa6a83cabf0c946ffb221027b5a8c0,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/math/PermutationUtils.kt,1850,fb7844a0b99a10ba56d7f01292bc23acf818cb1d5595baeb97f4d922438e84c4,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,MATH-01; OCR-01
app/src/main/java/com/cryonum/pdf/ActivityPdfViewer.kt,3524,e6b974aa158ff3b637a5a9559368e6cd0f1d6e75e7899ce00c7077377b7d2f4c,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,PERF-01
app/src/main/java/com/cryonum/pdf/PdfRenderBudget.kt,431,d034942f6a2fc57b161d5a6e01ca0998ff4e3e356120cd5f275101fa94417d93,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,PERF-01
app/src/main/java/com/cryonum/pdf/PdfViewerScreen.kt,14269,b78cd9fff241ff8dff7853ef33c6b73032da622dcda51d85ccab6f70f6a1a0d9,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,PERF-01
app/src/main/java/com/cryonum/pdf/ScreenProtection.kt,398,41d657d73227f43bd6ad210ba6dd7912a27492b3f9fde7b6f65f505d93df6e9e,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,PERF-01
app/src/main/java/com/cryonum/pdf/ZoomableTwoDScrollView.kt,4454,7069a1ab5d9ede5385b21d0b2009c519bc2a5b2f2c9eb4d09f0d490359701226,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,PERF-01
app/src/main/java/com/cryonum/ui/activity/AboutScreen.kt,8844,58f4b6cd48864db4d2e2c00e011d73713ccbe54570f498cca588c936f5739afa,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/ui/activity/AnalyticsScreen.kt,7543,1b0d766b68c4916a5caa6893265c3360d53334e281f31213dac36a24464525ec,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,PRIV-01–03
app/src/main/java/com/cryonum/ui/activity/CalculatorScreen.kt,8868,921b963c66ce2a38af5b9a3c14c633dd1f30df6ce32f169a918a2561ca22da11,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,CALC-01–06
app/src/main/java/com/cryonum/ui/activity/HelpCenterScreen.kt,7052,e5dbf3f08d8f159e9b1248fce202570395d6ba90858dd7ff19953a0dfb9dea31,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/ui/activity/HistoryScreen.kt,16127,8e81b08e6b93de35e79031435eecd520df721124ca242e837929e7a631efcf7c,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,DATA-01; DATA-02
app/src/main/java/com/cryonum/ui/activity/LanguageScreen.kt,6284,f9df8d1df641a22ffc4c6e69aad71000186898bfcab87061f9865bc32a5a1346,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/ui/activity/PartnersScreen.kt,8204,2ed0c7b3a3a5aa9a55fd42a04d30d6cc1252f7a519d0eb33e998543f78b4cd52,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/ui/activity/ReferenceMaterialScreen.kt,12123,058dbd14edbfa2c7f1d5cf26a25f723af2ab779cd12449c003c447224af5b57a,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/ui/activity/ResultScreen.kt,3954,8041fef81da800539d9dfc5f497496b369d42437d5959026ec35a63b4490be4a,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/ui/activity/ScheduleScreen.kt,3452,f644a47ecc96873a158f7ff2d74cc90c725318f474a85e7b8314036e4e787248,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/ui/activity/SecurityScreen.kt,13438,4759ce3a670ba556eae0da75be2d2d1f4ccdaa85f24b9228991e732ffe6e7a58,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,SEC-01–03
app/src/main/java/com/cryonum/ui/activity/SettingsScreen.kt,5892,942613827059844cc07eafca0a35c983e5b15c9404447b3d863d7c77cb36bbaf,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/ui/activity/SplashScreen.kt,1782,045d84d4b50d4f319619758df4c7e5d2f6a664900b26b42d61fb85ba11676272,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/ui/activity/SubstitutionsScreen.kt,11873,56dd2f7f9c26926d7782b8bb23e573aedac7fa0b8696496765b7d192b605ac73,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,MATH-01; OCR-01
app/src/main/java/com/cryonum/ui/activity/ThemeSelectionScreen.kt,6967,cec66239df4dc0953abebbc396cd7f0d3866fbef0f3ef84fc299581e93c0157b,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/ui/colors/DarkColors.kt,2996,dedc6036a8ae86b377e90b4caa8caee28a5c23816454d3b9c018f6ad1af537b5,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/ui/colors/LightColors.kt,2139,bca2ff16da9b20ba9d33772860f2d7f31ca4e2031f773ad2d29c4c26a7058743,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/ui/components/dialogs/ContentDownloadDialogs.kt,10641,10841cb3a7b567b3a82ca258eeb2cb779bb94433091c36345d1a1d76270e3afc,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/ui/components/dialogs/DeleteHistoryDialog.kt,3984,93aa9205822622e64612d0aa23df653ff96c5cc2939d36a896339f46f97c1a70,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,DATA-01; DATA-02
app/src/main/java/com/cryonum/ui/components/dialogs/FinalDeclineDialog.kt,3543,47ae6ed38d169888c55e84ce20e90e8496bb8b2c5affdbbc49c9113afda4a460,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/ui/components/dialogs/FirstLaunchPolicyDialog.kt,4390,0c5132116381119cea532b8fa2def8549c601ed9c08494b06f07f49eb81f3fe5,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/ui/components/dialogs/PolicyDialogContent.kt,4169,b7d63bb7a179b406c8cffd11a77dbea77d0580bbb200b66c9628ce265e7a97ec,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/ui/components/dialogs/SubstitutionsInputMethodDialog.kt,5542,479ed8599b99b068124cfc5567695bdef90e7787f7a7765656c6c3c8caa801b3,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,MATH-01; OCR-01
app/src/main/java/com/cryonum/ui/components/dialogs/SubstitutionsMaxValueDialog.kt,6558,6f76a65c2f98a00a31357761024a21a8add555f5706a76e98ec7b242d309d8cc,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,MATH-01; OCR-01
app/src/main/java/com/cryonum/ui/components/keyboard/CalculatorKeyboard.kt,6584,a77bc93215330091f43bfbd3b8179476cfa98fd497ec9de4431beb0db6174b2f,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,CALC-01–06
app/src/main/java/com/cryonum/ui/components/keyboard/Keyboard.kt,5039,98daadc71529540f0285f63bb9443b5b0e0c87f2a7bd86ff1cf1a82586d0cd18,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/ui/menu/AppBottomNavigation.kt,3915,00908a53f9461c758668d076a6b7bc1d5b5612f9355c182cfc83bbfdb4a86c9a,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/ui/menu/AppDrawer.kt,5286,b8b218210ff1f722f5d3bf6484d84ffc35b8a0037ac6a65de3111a089c3b7a6c,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/ui/styles/AppStyles.kt,1443,7ce9c096a41540ec3fdc931302942a0fe8f0944efbcdc87cbe852fbe5d797841,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/ui/styles/AppThemes.kt,498,3779e89d24167e96715a7537e2c0a8ae5ce47dcad2c7d27f52bbaa6add8cc437,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/ui/theme/Theme.kt,4067,dca98480f275d9943598d8db5ae0849cb25d6e3de548ad692925d6155de1ef0f,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,
app/src/main/java/com/cryonum/utils/InputFilter.kt,400,4aac6a2ef66b987042e5596adb205674f3d1ce3808334e6ee0dab0c0c2884e3b,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,MATH-01; OCR-01
app/src/main/java/com/cryonum/utils/SecurityUtils.kt,1185,221e0c4ba42e5874126052c9527b40686dff41f4c90a13103bf66bc6b90aaf32,"Статический поиск, компиляция/тесты согласно logs",Не означает построчное ревью или сквозной тест,SEC-01–03
app/src/main/res/drawable/ic_about.xml,1894,13db9e50c5570984e2e34e1258cafe4dd771b62389c0a637a204675beabac168,"XML parser, поиск атрибутов и ссылок",XML корректен; внешний вид/TalkBack не проверены,
app/src/main/res/drawable/ic_arrow_right.xml,470,1aea7d2fbb94bdb01a1a1850d97cb8c4708f95272b4738bed5e9c08d611dfa86,"XML parser, поиск атрибутов и ссылок",XML корректен; внешний вид/TalkBack не проверены,
app/src/main/res/drawable/ic_back.xml,330,082cdc8043746995e5b1933f8281bf400ed2423bb052a7ebf3c6de0acf58de42,"XML parser, поиск атрибутов и ссылок",XML корректен; внешний вид/TalkBack не проверены,
app/src/main/res/drawable/ic_bin.xml,2325,d6705d0d1276f1f2d35bfeb5c6ad28e58362488a0cefc6b0625219639946580f,"XML parser, поиск атрибутов и ссылок",XML корректен; внешний вид/TalkBack не проверены,
app/src/main/res/drawable/ic_camera.xml,1157,998191f21400c45a610353e4c5486b7756199644354589feb74293b2df48ff53,"XML parser, поиск атрибутов и ссылок",XML корректен; внешний вид/TalkBack не проверены,
